Price,Time
56.99,1200889800
56.93,1200891600
57.31,1200893400
48.09,1200895200
52.05,1200897000
53.39,1200898800
55.73,1200900600
61.82,1200902400
61.82,1200904200
61.82,1200906000
61.82,1200907800
61.82,1200909600
64.24,1200911400
61.82,1200913200
64.24,1200915000
61.82,1200916800
61.82,1200918600
61.82,1200920400
61.82,1200922200
61.82,1200924000
61.82,1200925800
68.68,1200927600
68.68,1200929400
64.24,1200931200
76.27,1200933000
107.43,1200934800
241.85,1200936600
136.78,1200938400
107.43,1200940200
107.43,1200942000
107.43,1200943800
76.27,1200945600
76.27,1200947400
76.27,1200949200
64.24,1200951000
61.82,1200952800
61.82,1200954600
61.82,1200956400
55.72,1200958200
53.48,1200960000
53.39,1200961800
53.39,1200963600
52.58,1200965400
52.58,1200967200
52.58,1200969000
52.05,1200970800
52.05,1200972600
52.05,1200974400
52.05,1200976200
52.05,1200978000
52.05,1200979800
51.05,1200981600
49.69,1200983400
55.95,1200985200
64.24,1200987000
61.82,1200988800
61.82,1200990600
61.82,1200992400
73.61,1200994200
72.67,1200996000
70.47,1200997800
73.62,1200999600
71.81,1201001400
74.75,1201003200
74.75,1201005000
68.25,1201006800
68.25,1201008600
74.75,1201010400
74.75,1201012200
75.47,1201014000
78.26,1201015800
79.73,1201017600
84.66,1201019400
150.31,1201021200
184.2,1201023000
147.43,1201024800
97.66,1201026600
106.16,1201028400
81.92,1201030200
78.83,1201032000
73.62,1201033800
71.75,1201035600
73.62,1201037400
64.24,1201039200
61.82,1201041000
64.24,1201042800
52.58,1201044600
52.05,1201046400
51.53,1201048200
52.05,1201050000
51.53,1201051800
51.53,1201053600
51.05,1201055400
49.38,1201057200
49.5,1201059000
47.91,1201060800
47.53,1201062600
47.66,1201064400
48.17,1201066200
46.9,1201068000
46.9,1201069800
50.24,1201071600
64.66,1201073400
64.66,1201075200
62.23,1201077000
67,1201078800
62.23,1201080600
62.23,1201082400
62.23,1201084200
62.23,1201086000
62.23,1201087800
62.23,1201089600
62.23,1201091400
62.23,1201093200
62.23,1201095000
62.23,1201096800
62.23,1201098600
62.23,1201100400
67,1201102200
77.1,1201104000
104.2,1201105800
132.24,1201107600
217.31,1201109400
152.01,1201111200
114.81,1201113000
109.49,1201114800
109.49,1201116600
109.49,1201118400
80.67,1201120200
64.66,1201122000
62.23,1201123800
60.84,1201125600
53.13,1201127400
53.13,1201129200
52.61,1201131000
51.93,1201132800
50.24,1201134600
50.01,1201136400
49.17,1201138200
46.9,1201140000
46.9,1201141800
46.9,1201143600
46.9,1201145400
46.9,1201147200
46.9,1201149000
46.9,1201150800
46.9,1201152600
48.94,1201154400
48.94,1201156200
53.25,1201158000
62.27,1201159800
62.27,1201161600
62.27,1201163400
64.71,1201165200
69.92,1201167000
69.92,1201168800
69.92,1201170600
65.64,1201172400
63,1201174200
62.27,1201176000
64.71,1201177800
62.27,1201179600
62.27,1201181400
62.27,1201183200
62.27,1201185000
62.27,1201186800
62.27,1201188600
62.27,1201190400
69.92,1201192200
73.58,1201194000
266.95,1201195800
118.74,1201197600
76.82,1201199400
76.82,1201201200
76.82,1201203000
69.92,1201204800
62.27,1201206600
62.27,1201208400
62.27,1201210200
62.27,1201212000
55.35,1201213800
55.35,1201215600
53.4,1201217400
53.25,1201219200
51.92,1201221000
51.43,1201222800
50.92,1201224600
48.94,1201226400
48.94,1201228200
48.94,1201230000
48.94,1201231800
48.94,1201233600
48.94,1201235400
48.94,1201237200
78.49,1201239000
46.81,1201240800
50.63,1201242600
53.98,1201244400
61.9,1201246200
66.79,1201248000
61.9,1201249800
61.9,1201251600
66.79,1201253400
66.79,1201255200
66.14,1201257000
66.79,1201258800
66,1201260600
66.79,1201262400
66.79,1201264200
61.9,1201266000
61.9,1201267800
61.9,1201269600
61.9,1201271400
61.9,1201273200
61.9,1201275000
61.9,1201276800
61.9,1201278600
66.79,1201280400
430.96,1201282200
430.96,1201284000
71.49,1201285800
66.79,1201287600
66.79,1201289400
61.9,1201291200
61.9,1201293000
61.9,1201294800
64.32,1201296600
53.98,1201298400
53.61,1201300200
54.56,1201302000
53.61,1201303800
51.72,1201305600
50.92,1201307400
47.87,1201309200
46.81,1201311000
46.75,1201312800
46.75,1201314600
46.75,1201316400
46.75,1201318200
46.75,1201320000
46.75,1201321800
46.75,1201323600
46.75,1201325400
47.88,1201327200
47.88,1201329000
47.88,1201330800
47.88,1201332600
47.88,1201334400
51.09,1201336200
54.35,1201338000
54.51,1201339800
59.3,1201341600
62.12,1201343400
65.74,1201345200
68.19,1201347000
78.78,1201348800
68.19,1201350600
62.05,1201352400
59.24,1201354200
59.14,1201356000
59.14,1201357800
59.05,1201359600
59.05,1201361400
59.05,1201363200
59.24,1201365000
67.59,1201366800
82.72,1201368600
120.18,1201370400
82.72,1201372200
82.72,1201374000
70.79,1201375800
68.19,1201377600
61.27,1201379400
62.15,1201381200
68.23,1201383000
54.35,1201384800
54.26,1201386600
54.45,1201388400
54.35,1201390200
54.51,1201392000
52.19,1201393800
52.19,1201395600
49.73,1201397400
49.24,1201399200
47.88,1201401000
47.88,1201402800
47.88,1201404600
47.88,1201406400
47.88,1201408200
47.88,1201410000
47.88,1201411800
49.04,1201413600
49.04,1201415400
49.04,1201417200
49.04,1201419000
49.04,1201420800
49.04,1201422600
51.79,1201424400
53.95,1201426200
53.95,1201428000
54.11,1201429800
109.86,1201431600
57.94,1201433400
61.8,1201435200
112.05,1201437000
112.05,1201438800
59.06,1201440600
59.06,1201442400
57.94,1201444200
57.94,1201446000
57.94,1201447800
57.94,1201449600
59.06,1201451400
64.05,1201453200
83.94,1201455000
119.79,1201456800
83.94,1201458600
83.94,1201460400
69.81,1201462200
64.04,1201464000
62.62,1201465800
112.05,1201467600
62.06,1201469400
57.94,1201471200
57.78,1201473000
57.78,1201474800
55.62,1201476600
53.36,1201478400
52.87,1201480200
52.87,1201482000
52.31,1201483800
52.31,1201485600
52.31,1201487400
51.58,1201489200
51.58,1201491000
51.58,1201492800
51.58,1201494600
51.58,1201496400
51.58,1201498200
47.76,1201500000
48.64,1201501800
52.62,1201503600
55.23,1201505400
55.23,1201507200
55.23,1201509000
57.58,1201510800
77.21,1201512600
77.21,1201514400
77.21,1201516200
77.21,1201518000
79.56,1201519800
93.23,1201521600
81.53,1201523400
77.21,1201525200
55.23,1201527000
57.58,1201528800
69.49,1201530600
57.58,1201532400
69.49,1201534200
69.49,1201536000
69.49,1201537800
173.66,1201539600
283.49,1201541400
162.19,1201543200
74.38,1201545000
74.38,1201546800
69.49,1201548600
69.49,1201550400
57.58,1201552200
57.58,1201554000
57.58,1201555800
57.58,1201557600
54.85,1201559400
55.03,1201561200
54.85,1201563000
51.51,1201564800
49.04,1201566600
48.64,1201568400
48.64,1201570200
48.64,1201572000
48.64,1201573800
48.64,1201575600
48.64,1201577400
48.64,1201579200
48.64,1201581000
48.64,1201582800
48.64,1201584600
50.14,1201586400
50.14,1201588200
58.22,1201590000
58.45,1201591800
68.38,1201593600
60.2,1201595400
87.47,1201597200
95.82,1201599000
77.38,1201600800
95.82,1201602600
95.82,1201604400
95.82,1201606200
95.82,1201608000
93.45,1201609800
79.26,1201611600
77.38,1201613400
78.6,1201615200
79.19,1201617000
93.45,1201618800
93.45,1201620600
95.82,1201622400
96.46,1201624200
115.34,1201626000
246.09,1201627800
145.53,1201629600
142.03,1201631400
115.34,1201633200
97.27,1201635000
96.78,1201636800
97.02,1201638600
97.07,1201640400
93.45,1201642200
89.58,1201644000
65.58,1201645800
69.06,1201647600
64.18,1201649400
58.64,1201651200
56.28,1201653000
56.28,1201654800
55.6,1201656600
55.6,1201658400
55.6,1201660200
50.84,1201662000
50.84,1201663800
50.84,1201665600
50.84,1201667400
50.84,1201669200
50.84,1201671000
52.9,1201672800
55.86,1201674600
59.14,1201676400
75.57,1201678200
75.57,1201680000
75.2,1201681800
75.57,1201683600
75.57,1201685400
75.2,1201687200
75.57,1201689000
75.57,1201690800
108.52,1201692600
417.61,1201694400
75.95,1201696200
75.2,1201698000
75.2,1201699800
61.52,1201701600
59.14,1201703400
61.52,1201705200
59.14,1201707000
59.14,1201708800
75.2,1201710600
85.84,1201712400
94.15,1201714200
93.77,1201716000
93.77,1201717800
93.77,1201719600
93.77,1201721400
85.22,1201723200
74.88,1201725000
59.14,1201726800
59.14,1201728600
58.78,1201730400
58.3,1201732200
58.78,1201734000
58.3,1201735800
55.86,1201737600
52.9,1201739400
52.9,1201741200
52.03,1201743000
51.51,1201744800
51.24,1201746600
51.24,1201748400
50.4,1201750200
50.4,1201752000
50.4,1201753800
50.4,1201755600
50.4,1201757400
50.34,1201759200
53.45,1201761000
54.46,1201762800
62.53,1201764600
62.79,1201766400
60.12,1201768200
60.12,1201770000
76.36,1201771800
76.36,1201773600
76.36,1201775400
76.36,1201777200
76.36,1201779000
76.36,1201780800
76.36,1201782600
76.36,1201784400
60.12,1201786200
60.12,1201788000
60.12,1201789800
62.53,1201791600
68.67,1201793400
66.19,1201795200
76.71,1201797000
116.38,1201798800
242.89,1201800600
152.99,1201802400
115.48,1201804200
115.95,1201806000
104.68,1201807800
98.44,1201809600
99.36,1201811400
93.69,1201813200
68.6,1201815000
66.19,1201816800
62.91,1201818600
66.42,1201820400
62.91,1201822200
60.53,1201824000
59.52,1201825800
58.75,1201827600
58.75,1201829400
58.22,1201831200
58.22,1201833000
56.4,1201834800
56.4,1201836600
56.4,1201838400
56.4,1201840200
56.4,1201842000
56.4,1201843800
53.59,1201845600
57.11,1201847400
59.34,1201849200
65.15,1201851000
96.3,1201852800
76.36,1201854600
76.36,1201856400
94.69,1201858200
94.69,1201860000
96.32,1201861800
113.09,1201863600
96.43,1201865400
95.75,1201867200
96.74,1201869000
97.63,1201870800
97.61,1201872600
97.66,1201874400
95.08,1201876200
80.89,1201878000
66.76,1201879800
66.76,1201881600
66.76,1201883400
96.88,1201885200
98.14,1201887000
414.2,1201888800
98.14,1201890600
98.14,1201892400
98.14,1201894200
98.14,1201896000
98.14,1201897800
94.69,1201899600
82,1201901400
63.18,1201903200
63.18,1201905000
88.79,1201906800
75.61,1201908600
90.26,1201910400
61.11,1201912200
61.11,1201914000
57.11,1201915800
54.75,1201917600
54.75,1201919400
54.75,1201921200
54.75,1201923000
54.75,1201924800
52.04,1201926600
52.04,1201928400
52.04,1201930200
51.77,1201932000
51.99,1201933800
54,1201935600
54,1201937400
54,1201939200
57.78,1201941000
57.78,1201942800
116.22,1201944600
75.64,1201946400
